Year,Neonatal period,Age,Birthweight,Country,Region,Country of birth,Sex,Units,Unit multiplier,Observation status,GeoCode,Value
2010,Early neonatal,,,England and Wales,,,Male,"Rate per 1,000 live births",Units,Normal value,K04000001,2.5
2010,Late neonatal,,,England and Wales,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,0.6
2010,Late neonatal,,,England and Wales,,Born in UK‚ Isle of Man or Channel Islands,,"Rate per 1,000 live births",Units,Normal value,K04000001,0.6
2010,Late neonatal,,,England and Wales,,Not born in UK,,"Rate per 1,000 live births",Units,Normal value,K04000001,0.7
2010,Late neonatal,,,England and Wales,,Born in EU (Non-UK),,"Rate per 1,000 live births",Units,Normal value,K04000001,0.6
2010,Late neonatal,,,England and Wales,,Born in Rest of Europe (Non-EU),,"Rate per 1,000 live births",Units,Low reliability,K04000001,0.7
2010,Late neonatal,,,England and Wales,,Born in Africa,,"Rate per 1,000 live births",Units,Normal value,K04000001,0.8
2010,Late neonatal,,,England and Wales,,Born in the Americas or the Caribbean,,"Rate per 1,000 live births",Units,Low reliability,K04000001,0.8
2010,Late neonatal,,,England and Wales,,Born in Middle East or Asia,,"Rate per 1,000 live births",Units,Normal value,K04000001,0.7
2010,Late neonatal,,,England and Wales,,Born in Antarctica or Oceania,,"Rate per 1,000 live births",Units,Low reliability,K04000001,0.8
2010,Late neonatal,,,England and Wales,,,Female,"Rate per 1,000 live births",Units,Normal value,K04000001,0.6
2010,Late neonatal,,,England and Wales,,,Male,"Rate per 1,000 live births",Units,Normal value,K04000001,0.7
2011,,,,England and Wales,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.9
2011,,,,England and Wales,,Born in UK‚ Isle of Man or Channel Islands,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.8
2011,,,,England and Wales,,Not born in UK,,"Rate per 1,000 live births",Units,Normal value,K04000001,3.1
2011,,,,England and Wales,,Born in EU (Non-UK),,"Rate per 1,000 live births",Units,Normal value,K04000001,2.4
2011,,,,England and Wales,,Born in Rest of Europe (Non-EU),,"Rate per 1,000 live births",Units,Low reliability,K04000001,1.9
2011,,,,England and Wales,,Born in Africa,,"Rate per 1,000 live births",Units,Normal value,K04000001,4.0
2011,,,,England and Wales,,Born in the Americas or the Caribbean,,"Rate per 1,000 live births",Units,Normal value,K04000001,3.2
2011,,,,England and Wales,,Born in Middle East or Asia,,"Rate per 1,000 live births",Units,Normal value,K04000001,3.2
2011,,,,England and Wales,,Born in Antarctica or Oceania,,"Rate per 1,000 live births",Units,Low reliability,K04000001,1.9
2011,,,,England and Wales,,,Female,"Rate per 1,000 live births",Units,Normal value,K04000001,2.5
2011,,,,England and Wales,,,Male,"Rate per 1,000 live births",Units,Normal value,K04000001,3.3
2011,Early neonatal,,,England and Wales,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.3
2011,Early neonatal,,,England and Wales,,Born in UK‚ Isle of Man or Channel Islands,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.2
2011,Early neonatal,,,England and Wales,,Not born in UK,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.3
2011,Early neonatal,,,England and Wales,,Born in EU (Non-UK),,"Rate per 1,000 live births",Units,Normal value,K04000001,1.9
2011,Early neonatal,,,England and Wales,,Born in Rest of Europe (Non-EU),,"Rate per 1,000 live births",Units,Low reliability,K04000001,1.7
2011,Early neonatal,,,England and Wales,,Born in Africa,,"Rate per 1,000 live births",Units,Normal value,K04000001,3.1
2011,Early neonatal,,,England and Wales,,Born in the Americas or the Caribbean,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.5
2011,Early neonatal,,,England and Wales,,Born in Middle East or Asia,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.3
2011,Early neonatal,,,England and Wales,,Born in Antarctica or Oceania,,"Rate per 1,000 live births",Units,Low reliability,K04000001,1.1
2011,Early neonatal,,,England and Wales,,,Female,"Rate per 1,000 live births",Units,Normal value,K04000001,1.9
2011,Early neonatal,,,England and Wales,,,Male,"Rate per 1,000 live births",Units,Normal value,K04000001,2.6
2011,Late neonatal,,,England and Wales,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,0.6
2011,Late neonatal,,,England and Wales,,Born in UK‚ Isle of Man or Channel Islands,,"Rate per 1,000 live births",Units,Normal value,K04000001,0.6
2011,Late neonatal,,,England and Wales,,Not born in UK,,"Rate per 1,000 live births",Units,Normal value,K04000001,0.8
2011,Late neonatal,,,England and Wales,,Born in EU (Non-UK),,"Rate per 1,000 live births",Units,Normal value,K04000001,0.6
2011,Late neonatal,,,England and Wales,,Born in Rest of Europe (Non-EU),,"Rate per 1,000 live births",Units,Missing value; suppressed,K04000001,
2011,Late neonatal,,,England and Wales,,Born in Africa,,"Rate per 1,000 live births",Units,Normal value,K04000001,0.9
2011,Late neonatal,,,England and Wales,,Born in the Americas or the Caribbean,,"Rate per 1,000 live births",Units,Low reliability,K04000001,0.7
2011,Late neonatal,,,England and Wales,,Born in Middle East or Asia,,"Rate per 1,000 live births",Units,Normal value,K04000001,0.9
2011,Late neonatal,,,England and Wales,,Born in Antarctica or Oceania,,"Rate per 1,000 live births",Units,Low reliability,K04000001,0.8
2011,Late neonatal,,,England and Wales,,,Female,"Rate per 1,000 live births",Units,Normal value,K04000001,0.6
2011,Late neonatal,,,England and Wales,,,Male,"Rate per 1,000 live births",Units,Normal value,K04000001,0.7
2012,,,,England and Wales,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.8
2012,,,,England and Wales,,Born in UK‚ Isle of Man or Channel Islands,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.7
2012,,,,England and Wales,,Not born in UK,,"Rate per 1,000 live births",Units,Normal value,K04000001,3.0
2012,,,,England and Wales,,Born in EU (Non-UK),,"Rate per 1,000 live births",Units,Normal value,K04000001,2.5
2012,,,,England and Wales,,Born in Rest of Europe (Non-EU),,"Rate per 1,000 live births",Units,Low reliability,K04000001,1.1
2012,,,,England and Wales,,Born in Africa,,"Rate per 1,000 live births",Units,Normal value,K04000001,3.4
2012,,,,England and Wales,,Born in the Americas or the Caribbean,,"Rate per 1,000 live births",Units,Normal value,K04000001,3.7
2012,,,,England and Wales,,Born in Middle East or Asia,,"Rate per 1,000 live births",Units,Normal value,K04000001,3.2
2012,,,,England and Wales,,Born in Antarctica or Oceania,,"Rate per 1,000 live births",Units,Low reliability,K04000001,2.6
2012,,,,England and Wales,,,Female,"Rate per 1,000 live births",Units,Normal value,K04000001,2.5
2012,,,,England and Wales,,,Male,"Rate per 1,000 live births",Units,Normal value,K04000001,3.1
2012,Early neonatal,,,England and Wales,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.2
2012,Early neonatal,,,England and Wales,,Born in UK‚ Isle of Man or Channel Islands,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.0
2012,Early neonatal,,,England and Wales,,Not born in UK,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.3
2012,Early neonatal,,,England and Wales,,Born in EU (Non-UK),,"Rate per 1,000 live births",Units,Normal value,K04000001,1.8
2012,Early neonatal,,,England and Wales,,Born in Rest of Europe (Non-EU),,"Rate per 1,000 live births",Units,Low reliability,K04000001,1.0
2012,Early neonatal,,,England and Wales,,Born in Africa,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.7
2012,Early neonatal,,,England and Wales,,Born in the Americas or the Caribbean,,"Rate per 1,000 live births",Units,Normal value,K04000001,3.1
2012,Early neonatal,,,England and Wales,,Born in Middle East or Asia,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.5
2012,Early neonatal,,,England and Wales,,Born in Antarctica or Oceania,,"Rate per 1,000 live births",Units,Low reliability,K04000001,1.7
2012,Early neonatal,,,England and Wales,,,Female,"Rate per 1,000 live births",Units,Normal value,K04000001,1.8
2012,Early neonatal,,,England and Wales,,,Male,"Rate per 1,000 live births",Units,Normal value,K04000001,2.4
2012,Late neonatal,,,England and Wales,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,0.6
2012,Late neonatal,,,England and Wales,,Born in UK‚ Isle of Man or Channel Islands,,"Rate per 1,000 live births",Units,Normal value,K04000001,0.6
2012,Late neonatal,,,England and Wales,,Not born in UK,,"Rate per 1,000 live births",Units,Normal value,K04000001,0.7
2012,Late neonatal,,,England and Wales,,Born in EU (Non-UK),,"Rate per 1,000 live births",Units,Normal value,K04000001,0.7
2012,Late neonatal,,,England and Wales,,Born in Rest of Europe (Non-EU),,"Rate per 1,000 live births",Units,Missing value; suppressed,K04000001,
2012,Late neonatal,,,England and Wales,,Born in Africa,,"Rate per 1,000 live births",Units,Normal value,K04000001,0.6
2012,Late neonatal,,,England and Wales,,Born in the Americas or the Caribbean,,"Rate per 1,000 live births",Units,Low reliability,K04000001,0.6
2012,Late neonatal,,,England and Wales,,Born in Middle East or Asia,,"Rate per 1,000 live births",Units,Normal value,K04000001,0.7
2012,Late neonatal,,,England and Wales,,Born in Antarctica or Oceania,,"Rate per 1,000 live births",Units,Low reliability,K04000001,0.9
2012,Late neonatal,,,England and Wales,,,Female,"Rate per 1,000 live births",Units,Normal value,K04000001,0.7
2012,Late neonatal,,,England and Wales,,,Male,"Rate per 1,000 live births",Units,Normal value,K04000001,0.7
2013,,,,England and Wales,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.7
2013,,,,England and Wales,,Born in UK‚ Isle of Man or Channel Islands,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.5
2013,,,,England and Wales,,Not born in UK,,"Rate per 1,000 live births",Units,Normal value,K04000001,3.0
2013,,,,England and Wales,,Born in EU (Non-UK),,"Rate per 1,000 live births",Units,Normal value,K04000001,2.2
2013,,,,England and Wales,,Born in Rest of Europe (Non-EU),,"Rate per 1,000 live births",Units,Low reliability,K04000001,2.4
2013,,,,England and Wales,,Born in Africa,,"Rate per 1,000 live births",Units,Normal value,K04000001,4.0
2013,,,,England and Wales,,Born in the Americas or the Caribbean,,"Rate per 1,000 live births",Units,Normal value,K04000001,3.5
2013,,,,England and Wales,,Born in Middle East or Asia,,"Rate per 1,000 live births",Units,Normal value,K04000001,3.2
2013,,,,England and Wales,,Born in Antarctica or Oceania,,"Rate per 1,000 live births",Units,Low reliability,K04000001,1.9
2013,,,,England and Wales,,,Female,"Rate per 1,000 live births",Units,Normal value,K04000001,2.4
2013,,,,England and Wales,,,Male,"Rate per 1,000 live births",Units,Normal value,K04000001,3.0
2013,Early neonatal,,,England and Wales,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.0
2013,Early neonatal,,,England and Wales,,Born in UK‚ Isle of Man or Channel Islands,,"Rate per 1,000 live births",Units,Normal value,K04000001,1.9
2013,Early neonatal,,,England and Wales,,Not born in UK,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.3
2013,Early neonatal,,,England and Wales,,Born in EU (Non-UK),,"Rate per 1,000 live births",Units,Normal value,K04000001,1.6
2013,Early neonatal,,,England and Wales,,Born in Rest of Europe (Non-EU),,"Rate per 1,000 live births",Units,Low reliability,K04000001,1.9
2013,Early neonatal,,,England and Wales,,Born in Africa,,"Rate per 1,000 live births",Units,Normal value,K04000001,3.3
2013,Early neonatal,,,England and Wales,,Born in the Americas or the Caribbean,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.7
2013,Early neonatal,,,England and Wales,,Born in Middle East or Asia,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.5
2013,Early neonatal,,,England and Wales,,Born in Antarctica or Oceania,,"Rate per 1,000 live births",Units,Low reliability,K04000001,1.0
2013,Early neonatal,,,England and Wales,,,Female,"Rate per 1,000 live births",Units,Normal value,K04000001,1.8
2013,Early neonatal,,,England and Wales,,,Male,"Rate per 1,000 live births",Units,Normal value,K04000001,2.2
2013,Late neonatal,,,England and Wales,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,0.7
2013,Late neonatal,,,England and Wales,,Born in UK‚ Isle of Man or Channel Islands,,"Rate per 1,000 live births",Units,Normal value,K04000001,0.6
2013,Late neonatal,,,England and Wales,,Not born in UK,,"Rate per 1,000 live births",Units,Normal value,K04000001,0.7
2013,Late neonatal,,,England and Wales,,Born in EU (Non-UK),,"Rate per 1,000 live births",Units,Normal value,K04000001,0.5
2013,Late neonatal,,,England and Wales,,Born in Rest of Europe (Non-EU),,"Rate per 1,000 live births",Units,Low reliability,K04000001,0.5
2013,Late neonatal,,,England and Wales,,Born in Africa,,"Rate per 1,000 live births",Units,Normal value,K04000001,0.7
2013,Late neonatal,,,England and Wales,,Born in the Americas or the Caribbean,,"Rate per 1,000 live births",Units,Low reliability,K04000001,0.7
2013,Late neonatal,,,England and Wales,,Born in Middle East or Asia,,"Rate per 1,000 live births",Units,Normal value,K04000001,0.8
2013,Late neonatal,,,England and Wales,,Born in Antarctica or Oceania,,"Rate per 1,000 live births",Units,Low reliability,K04000001,1.0
2013,Late neonatal,,,England and Wales,,,Female,"Rate per 1,000 live births",Units,Normal value,K04000001,0.6
2013,Late neonatal,,,England and Wales,,,Male,"Rate per 1,000 live births",Units,Normal value,K04000001,0.8
2014,,,,England and Wales,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.5
2014,,,,England and Wales,,Born in UK‚ Isle of Man or Channel Islands,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.5
2014,,,,England and Wales,,Not born in UK,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.7
2014,,,,England and Wales,,Born in EU (Non-UK),,"Rate per 1,000 live births",Units,Normal value,K04000001,2.1
2014,,,,England and Wales,,Born in Rest of Europe (Non-EU),,"Rate per 1,000 live births",Units,Low reliability,K04000001,1.9
2014,,,,England and Wales,,Born in Africa,,"Rate per 1,000 live births",Units,Normal value,K04000001,3.9
2014,,,,England and Wales,,Born in the Americas or the Caribbean,,"Rate per 1,000 live births",Units,Normal value,K04000001,1.9
2014,,,,England and Wales,,Born in Middle East or Asia,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.9
2014,,,,England and Wales,,Born in Antarctica or Oceania,,"Rate per 1,000 live births",Units,Low reliability,K04000001,2.0
2014,,,,England and Wales,,,Female,"Rate per 1,000 live births",Units,Normal value,K04000001,2.4
2014,,,,England and Wales,,,Male,"Rate per 1,000 live births",Units,Normal value,K04000001,2.7
2014,Early neonatal,,,England and Wales,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.0
2014,Early neonatal,,,England and Wales,,Born in UK‚ Isle of Man or Channel Islands,,"Rate per 1,000 live births",Units,Normal value,K04000001,1.9
2014,Early neonatal,,,England and Wales,,Not born in UK,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.1
2014,Early neonatal,,,England and Wales,,Born in EU (Non-UK),,"Rate per 1,000 live births",Units,Normal value,K04000001,1.7
2014,Early neonatal,,,England and Wales,,Born in Rest of Europe (Non-EU),,"Rate per 1,000 live births",Units,Low reliability,K04000001,1.5
2014,Early neonatal,,,England and Wales,,Born in Africa,,"Rate per 1,000 live births",Units,Normal value,K04000001,3.2
2014,Early neonatal,,,England and Wales,,Born in the Americas or the Caribbean,,"Rate per 1,000 live births",Units,Low reliability,K04000001,1.4
2014,Early neonatal,,,England and Wales,,Born in Middle East or Asia,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.3
2014,Early neonatal,,,England and Wales,,Born in Antarctica or Oceania,,"Rate per 1,000 live births",Units,Low reliability,K04000001,1.3
2014,Early neonatal,,,England and Wales,,,Female,"Rate per 1,000 live births",Units,Normal value,K04000001,1.9
2014,Early neonatal,,,England and Wales,,,Male,"Rate per 1,000 live births",Units,Normal value,K04000001,2.1
2014,Late neonatal,,,England and Wales,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,0.5
2014,Late neonatal,,,England and Wales,,Born in UK‚ Isle of Man or Channel Islands,,"Rate per 1,000 live births",Units,Normal value,K04000001,0.6
2014,Late neonatal,,,England and Wales,,Not born in UK,,"Rate per 1,000 live births",Units,Normal value,K04000001,0.5
2014,Late neonatal,,,England and Wales,,Born in EU (Non-UK),,"Rate per 1,000 live births",Units,Normal value,K04000001,0.4
2014,Late neonatal,,,England and Wales,,Born in Rest of Europe (Non-EU),,"Rate per 1,000 live births",Units,Low reliability,K04000001,0.4
2014,Late neonatal,,,England and Wales,,Born in Africa,,"Rate per 1,000 live births",Units,Normal value,K04000001,0.7
2014,Late neonatal,,,England and Wales,,Born in the Americas or the Caribbean,,"Rate per 1,000 live births",Units,Low reliability,K04000001,0.4
2014,Late neonatal,,,England and Wales,,Born in Middle East or Asia,,"Rate per 1,000 live births",Units,Normal value,K04000001,0.6
2014,Late neonatal,,,England and Wales,,Born in Antarctica or Oceania,,"Rate per 1,000 live births",Units,Missing value; suppressed,K04000001,
2014,Late neonatal,,,England and Wales,,,Female,"Rate per 1,000 live births",Units,Normal value,K04000001,0.5
2014,Late neonatal,,,England and Wales,,,Male,"Rate per 1,000 live births",Units,Normal value,K04000001,0.6
2015,,,,England and Wales,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.6
2015,,,,England and Wales,,Born in UK‚ Isle of Man or Channel Islands,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.6
2015,,,,England and Wales,,Not born in UK,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.7
2015,,,,England and Wales,,Born in EU (Non-UK),,"Rate per 1,000 live births",Units,Normal value,K04000001,1.9
2015,,,,England and Wales,,Born in Rest of Europe (Non-EU),,"Rate per 1,000 live births",Units,Low reliability,K04000001,1.5
2015,,,,England and Wales,,Born in Africa,,"Rate per 1,000 live births",Units,Normal value,K04000001,3.7
2015,,,,England and Wales,,Born in the Americas or the Caribbean,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.3
2015,,,,England and Wales,,Born in Middle East or Asia,,"Rate per 1,000 live births",Units,Normal value,K04000001,3.2
2015,,,,England and Wales,,Born in Antarctica or Oceania,,"Rate per 1,000 live births",Units,Low reliability,K04000001,2.4
2015,,,,England and Wales,,,Female,"Rate per 1,000 live births",Units,Normal value,K04000001,2.3
2015,,,,England and Wales,,,Male,"Rate per 1,000 live births",Units,Normal value,K04000001,3.0
2015,Early neonatal,,,England and Wales,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.1
2015,Early neonatal,,,England and Wales,,Born in UK‚ Isle of Man or Channel Islands,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.0
2015,Early neonatal,,,England and Wales,,Not born in UK,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.1
2015,Early neonatal,,,England and Wales,,Born in EU (Non-UK),,"Rate per 1,000 live births",Units,Normal value,K04000001,1.5
2015,Early neonatal,,,England and Wales,,Born in Rest of Europe (Non-EU),,"Rate per 1,000 live births",Units,Low reliability,K04000001,1.1
2015,Early neonatal,,,England and Wales,,Born in Africa,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.6
2015,Early neonatal,,,England and Wales,,Born in the Americas or the Caribbean,,"Rate per 1,000 live births",Units,Low reliability,K04000001,1.5
2015,Early neonatal,,,England and Wales,,Born in Middle East or Asia,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.7
2015,Early neonatal,,,England and Wales,,Born in Antarctica or Oceania,,"Rate per 1,000 live births",Units,Low reliability,K04000001,1.7
2015,Early neonatal,,,England and Wales,,,Female,"Rate per 1,000 live births",Units,Normal value,K04000001,1.7
2015,Early neonatal,,,England and Wales,,,Male,"Rate per 1,000 live births",Units,Normal value,K04000001,2.4
2015,Late neonatal,,,England and Wales,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,0.5
2015,Late neonatal,,,England and Wales,,Born in UK‚ Isle of Man or Channel Islands,,"Rate per 1,000 live births",Units,Normal value,K04000001,0.6
2015,Late neonatal,,,England and Wales,,Not born in UK,,"Rate per 1,000 live births",Units,Normal value,K04000001,0.6
2015,Late neonatal,,,England and Wales,,Born in EU (Non-UK),,"Rate per 1,000 live births",Units,Normal value,K04000001,0.4
2015,Late neonatal,,,England and Wales,,Born in Rest of Europe (Non-EU),,"Rate per 1,000 live births",Units,Low reliability,K04000001,0.4
2015,Late neonatal,,,England and Wales,,Born in Africa,,"Rate per 1,000 live births",Units,Normal value,K04000001,1.1
2015,Late neonatal,,,England and Wales,,Born in the Americas or the Caribbean,,"Rate per 1,000 live births",Units,Low reliability,K04000001,0.8
2015,Late neonatal,,,England and Wales,,Born in Middle East or Asia,,"Rate per 1,000 live births",Units,Normal value,K04000001,0.5
2015,Late neonatal,,,England and Wales,,Born in Antarctica or Oceania,,"Rate per 1,000 live births",Units,Missing value; suppressed,K04000001,
2015,Late neonatal,,,England and Wales,,,Female,"Rate per 1,000 live births",Units,Normal value,K04000001,0.6
2015,Late neonatal,,,England and Wales,,,Male,"Rate per 1,000 live births",Units,Normal value,K04000001,0.6
